#1				
double Inf_Q(1346,5)  # t	steady	dry	rain	strm
-2.0000000000	-1	0	1	2
0.0000000000	18446	21477	21477	21477
0.0104166667	18446	21474	21474	21474
0.0208333333	18446	19620	19620	19620
0.0312500000	18446	19334	19334	19334
0.0416666667	18446	18978	18978	18978
0.0520833333	18446	18321	18321	18321
0.0625000000	18446	17855	17855	17855
0.0729166667	18446	17237	17237	17237
0.0833333333	18446	16453	16453	16453
0.0937500000	18446	16548	16548	16548
0.1041666667	18446	16295	16295	16295
0.1145833333	18446	14743	14743	14743
0.1250000000	18446	13613	13613	13613
0.1354166667	18446	12807	12807	12807
0.1458333333	18446	12173	12173	12173
0.1562500000	18446	11533	11533	11533
0.1666666667	18446	12198	12198	12198
0.1770833333	18446	11640	11640	11640
0.1875000000	18446	11978	11978	11978
0.1979166667	18446	13272	13272	13272
0.2083333333	18446	12452	12452	12452
0.2187500000	18446	13453	13453	13453
0.2291666667	18446	13815	13815	13815
0.2395833333	18446	13803	13803	13803
0.2500000000	18446	12514	12514	12514
0.2604166667	18446	12542	12542	12542
0.2708333333	18446	11865	11865	11865
0.2812500000	18446	12118	12118	12118
0.2916666667	18446	11906	11906	11906
0.3020833333	18446	12059	12059	12059
0.3125000000	18446	12446	12446	12446
0.3229166667	18446	12982	12982	12982
0.3333333333	18446	12956	12956	12956
0.3437500000	18446	12745	12745	12745
0.3541666667	18446	13597	13597	13597
0.3645833333	18446	14171	14171	14171
0.3750000000	18446	17637	17637	17637
0.3854166667	18446	17635	17635	17635
0.3958333333	18446	22461	22461	22461
0.4062500000	18446	26276	26276	26276
0.4166666667	18446	25598	25598	25598
0.4270833333	18446	27780	27780	27780
0.4375000000	18446	29551	29551	29551
0.4479166667	18446	31861	31861	31861
0.4583333333	18446	32171	32171	32171
0.4687500000	18446	32180	32180	32180
0.4791666667	18446	31869	31869	31869
0.4895833333	18446	28047	28047	28047
0.5000000000	18446	26695	26695	26695
0.5104166667	18446	26690	26690	26690
0.5208333333	18446	25572	25572	25572
0.5312500000	18446	25496	25496	25496
0.5416666667	18446	22401	22401	22401
0.5520833333	18446	26555	26555	26555
0.5625000000	18446	25905	25905	25905
0.5729166667	18446	24310	24310	24310
0.5833333333	18446	23404	23404	23404
0.5937500000	18446	20560	20560	20560
0.6041666667	18446	18732	18732	18732
0.6145833333	18446	25320	25320	25320
0.6250000000	18446	23046	23046	23046
0.6354166667	18446	21357	21357	21357
0.6458333333	18446	22487	22487	22487
0.6562500000	18446	18221	18221	18221
0.6666666667	18446	17442	17442	17442
0.6770833333	18446	19246	19246	19246
0.6875000000	18446	19197	19197	19197
0.6979166667	18446	19637	19637	19637
0.7083333333	18446	19014	19014	19014
0.7187500000	18446	18480	18480	18480
0.7291666667	18446	18208	18208	18208
0.7395833333	18446	18547	18547	18547
0.7500000000	18446	18666	18666	18666
0.7604166667	18446	18670	18670	18670
0.7708333333	18446	18654	18654	18654
0.7812500000	18446	23137	23137	23137
0.7916666667	18446	22509	22509	22509
0.8020833333	18446	22031	22031	22031
0.8125000000	18446	22489	22489	22489
0.8229166667	18446	18876	18876	18876
0.8333333333	18446	20674	20674	20674
0.8437500000	18446	24145	24145	24145
0.8541666667	18446	22518	22518	22518
0.8645833333	18446	22803	22803	22803
0.8750000000	18446	21780	21780	21780
0.8854166667	18446	19067	19067	19067
0.8958333333	18446	26211	26211	26211
0.9062500000	18446	24096	24096	24096
0.9166666667	18446	23071	23071	23071
0.9270833333	18446	22388	22388	22388
0.9375000000	18446	17483	17483	17483
0.9479166667	18446	25814	25814	25814
0.9583333333	18446	23248	23248	23248
0.9687500000	18446	24098	24098	24098
0.9791666667	18446	22402	22402	22402
0.9895833333	18446	19962	19962	19962
1.0000000000	18446	18363	18363	18363
1.0104166667	18446	18618	18618	18618
1.0208333333	18446	19046	19046	19046
1.0312500000	18446	23433	23433	23433
1.0416666667	18446	22011	22011	22011
1.0520833333	18446	23310	23310	23310
1.0625000000	18446	23158	23158	23158
1.0729166667	18446	15122	15122	15122
1.0833333333	18446	15319	15319	15319
1.0937500000	18446	15342	15342	15342
1.1041666667	18446	14751	14751	14751
1.1145833333	18446	14287	14287	14287
1.1250000000	18446	12478	12478	12478
1.1354166667	18446	12477	12477	12477
1.1458333333	18446	11347	11347	11347
1.1562500000	18446	11037	11037	11037
1.1666666667	18446	10473	10473	10473
1.1770833333	18446	10000	10000	10000
1.1875000000	18446	11258	11258	11258
1.1979166667	18446	10436	10436	10436
1.2083333333	18446	10976	10976	10976
1.2187500000	18446	11250	11250	11250
1.2291666667	18446	11740	11740	11740
1.2395833333	18446	11562	11562	11562
1.2500000000	18446	12124	12124	12124
1.2604166667	18446	12578	12578	12578
1.2708333333	18446	11399	11399	11399
1.2812500000	18446	11448	11448	11448
1.2916666667	18446	12090	12090	12090
1.3020833333	18446	12429	12429	12429
1.3125000000	18446	11500	11500	11500
1.3229166667	18446	11717	11717	11717
1.3333333333	18446	11751	11751	11751
1.3437500000	18446	11489	11489	11489
1.3541666667	18446	12859	12859	12859
1.3645833333	18446	12350	12350	12350
1.3750000000	18446	12194	12194	12194
1.3854166667	18446	15329	15329	15329
1.3958333333	18446	22901	22901	22901
1.4062500000	18446	23690	23690	23690
1.4166666667	18446	24749	24749	24749
1.4270833333	18446	27249	27249	27249
1.4375000000	18446	29504	29504	29504
1.4479166667	18446	31868	31868	31868
1.4583333333	18446	32126	32126	32126
1.4687500000	18446	31909	31909	31909
1.4791666667	18446	31927	31927	31927
1.4895833333	18446	31719	31719	31719
1.5000000000	18446	30926	30926	30926
1.5104166667	18446	27039	27039	27039
1.5208333333	18446	25844	25844	25844
1.5312500000	18446	25174	25174	25174
1.5416666667	18446	24783	24783	24783
1.5520833333	18446	24444	24444	24444
1.5625000000	18446	22762	22762	22762
1.5729166667	18446	24940	24940	24940
1.5833333333	18446	24113	24113	24113
1.5937500000	18446	23320	23320	23320
1.6041666667	18446	22247	22247	22247
1.6145833333	18446	21875	21875	21875
1.6250000000	18446	21863	21863	21863
1.6354166667	18446	21236	21236	21236
1.6458333333	18446	21473	21473	21473
1.6562500000	18446	20822	20822	20822
1.6666666667	18446	20463	20463	20463
1.6770833333	18446	20034	20034	20034
1.6875000000	18446	19328	19328	19328
1.6979166667	18446	18928	18928	18928
1.7083333333	18446	18510	18510	18510
1.7187500000	18446	18319	18319	18319
1.7291666667	18446	18224	18224	18224
1.7395833333	18446	19106	19106	19106
1.7500000000	18446	22491	22491	22491
1.7604166667	18446	21604	21604	21604
1.7708333333	18446	22228	22228	22228
1.7812500000	18446	21169	21169	21169
1.7916666667	18446	19849	19849	19849
1.8020833333	18446	17451	17451	17451
1.8125000000	18446	18335	18335	18335
1.8229166667	18446	22018	22018	22018
1.8333333333	18446	23369	23369	23369
1.8437500000	18446	23270	23270	23270
1.8541666667	18446	25050	25050	25050
1.8645833333	18446	21540	21540	21540
1.8750000000	18446	19321	19321	19321
1.8854166667	18446	21190	21190	21190
1.8958333333	18446	26591	26591	26591
1.9062500000	18446	24225	24225	24225
1.9166666667	18446	23902	23902	23902
1.9270833333	18446	24339	24339	24339
1.9375000000	18446	21529	21529	21529
1.9479166667	18446	26978	26978	26978
1.9583333333	18446	25693	25693	25693
1.9687500000	18446	24779	24779	24779
1.9791666667	18446	24086	24086	24086
1.9895833333	18446	23308	23308	23308
2.0000000000	18446	21017	21017	21017
2.0104166667	18446	21014	21014	21014
2.0208333333	18446	19118	19118	19118
2.0312500000	18446	18847	18847	18847
2.0416666667	18446	18509	18509	18509
2.0520833333	18446	17886	17886	17886
2.0625000000	18446	17445	17445	17445
2.0729166667	18446	16858	16858	16858
2.0833333333	18446	16116	16116	16116
2.0937500000	18446	16206	16206	16206
2.1041666667	18446	15965	15965	15965
2.1145833333	18446	14494	14494	14494
2.1250000000	18446	13423	13423	13423
2.1354166667	18446	12660	12660	12660
2.1458333333	18446	12059	12059	12059
2.1562500000	18446	11453	11453	11453
2.1666666667	18446	12083	12083	12083
2.1770833333	18446	11554	11554	11554
2.1875000000	18446	11875	11875	11875
2.1979166667	18446	13101	13101	13101
2.2083333333	18446	12323	12323	12323
2.2187500000	18446	13271	13271	13271
2.2291666667	18446	13614	13614	13614
2.2395833333	18446	13604	13604	13604
2.2500000000	18446	12382	12382	12382
2.2604166667	18446	12408	12408	12408
2.2708333333	18446	11767	11767	11767
2.2812500000	18446	12006	12006	12006
2.2916666667	18446	11805	11805	11805
2.3020833333	18446	11951	11951	11951
2.3125000000	18446	12317	12317	12317
2.3229166667	18446	12825	12825	12825
2.3333333333	18446	12800	12800	12800
2.3437500000	18446	12600	12600	12600
2.3541666667	18446	13408	13408	13408
2.3645833333	18446	13952	13952	13952
2.3750000000	18446	17235	17235	17235
2.3854166667	18446	17233	17233	17233
2.3958333333	18446	21804	21804	21804
2.4062500000	18446	25418	25418	25418
2.4166666667	18446	24776	24776	24776
2.4270833333	18446	26842	26842	26842
2.4375000000	18446	28519	28519	28519
2.4479166667	18446	30707	30707	30707
2.4583333333	18446	31000	31000	31000
2.4687500000	18446	31009	31009	31009
2.4791666667	18446	30713	30713	30713
2.4895833333	18446	27093	27093	27093
2.5000000000	18446	25812	25812	25812
2.5104166667	18446	25808	25808	25808
2.5208333333	18446	24748	24748	24748
2.5312500000	18446	24677	24677	24677
2.5416666667	18446	21745	21745	21745
2.5520833333	18446	25678	25678	25678
2.5625000000	18446	25062	25062	25062
2.5729166667	18446	23552	23552	23552
2.5833333333	18446	22693	22693	22693
2.5937500000	18446	20001	20001	20001
2.6041666667	18446	18269	18269	18269
2.6145833333	18446	24508	24508	24508
2.6250000000	18446	22354	22354	22354
2.6354166667	18446	20755	20755	20755
2.6458333333	18446	21824	21824	21824
2.6562500000	18446	17785	17785	17785
2.6666666667	18446	17047	17047	17047
2.6770833333	18446	18755	18755	18755
2.6875000000	18446	18708	18708	18708
2.6979166667	18446	19125	19125	19125
2.7083333333	18446	18535	18535	18535
2.7187500000	18446	18029	18029	18029
2.7291666667	18446	17772	17772	17772
2.7395833333	18446	18093	18093	18093
2.7500000000	18446	18205	18205	18205
2.7604166667	18446	18209	18209	18209
2.7708333333	18446	18193	18193	18193
2.7812500000	18446	22437	22437	22437
2.7916666667	18446	21842	21842	21842
2.8020833333	18446	21390	21390	21390
2.8125000000	18446	21824	21824	21824
2.8229166667	18446	18403	18403	18403
2.8333333333	18446	20104	20104	20104
2.8437500000	18446	23390	23390	23390
2.8541666667	18446	21850	21850	21850
2.8645833333	18446	22120	22120	22120
2.8750000000	18446	21151	21151	21151
2.8854166667	18446	18582	18582	18582
2.8958333333	18446	25345	25345	25345
2.9062500000	18446	23343	23343	23343
2.9166666667	18446	22372	22372	22372
2.9270833333	18446	21725	21725	21725
2.9375000000	18446	17083	17083	17083
2.9479166667	18446	24968	24968	24968
2.9583333333	18446	22540	22540	22540
2.9687500000	18446	23343	23343	23343
2.9791666667	18446	21738	21738	21738
2.9895833333	18446	19429	19429	19429
3.0000000000	18446	17915	17915	17915
3.0104166667	18446	18156	18156	18156
3.0208333333	18446	18561	18561	18561
3.0312500000	18446	22713	22713	22713
3.0416666667	18446	21366	21366	21366
3.0520833333	18446	22596	22596	22596
3.0625000000	18446	22452	22452	22452
3.0729166667	18446	14847	14847	14847
3.0833333333	18446	15033	15033	15033
3.0937500000	18446	15055	15055	15055
3.1041666667	18446	14496	14496	14496
3.1145833333	18446	14056	14056	14056
3.1250000000	18446	12345	12345	12345
3.1354166667	18446	12344	12344	12344
3.1458333333	18446	11274	11274	11274
3.1562500000	18446	10981	10981	10981
3.1666666667	18446	10448	10448	10448
3.1770833333	18446	10000	10000	10000
3.1875000000	18446	11190	11190	11190
3.1979166667	18446	10412	10412	10412
3.2083333333	18446	10923	10923	10923
3.2187500000	18446	11182	11182	11182
3.2291666667	18446	11646	11646	11646
3.2395833333	18446	11478	11478	11478
3.2500000000	18446	12009	12009	12009
3.2604166667	18446	12439	12439	12439
3.2708333333	18446	11323	11323	11323
3.2812500000	18446	11370	11370	11370
3.2916666667	18446	11977	11977	11977
3.3020833333	18446	12298	12298	12298
3.3125000000	18446	11419	11419	11419
3.3229166667	18446	11624	11624	11624
3.3333333333	18446	11656	11656	11656
3.3437500000	18446	11409	11409	11409
3.3541666667	18446	12704	12704	12704
3.3645833333	18446	12223	12223	12223
3.3750000000	18446	12076	12076	12076
3.3854166667	18446	15040	15040	15040
3.3958333333	18446	22202	22202	22202
3.4062500000	18446	22948	22948	22948
3.4166666667	18446	23950	23950	23950
3.4270833333	18446	26314	26314	26314
3.4375000000	18446	28447	28447	28447
3.4479166667	18446	30682	30682	30682
3.4583333333	18446	30926	30926	30926
3.4687500000	18446	30720	30720	30720
3.4791666667	18446	30737	30737	30737
3.4895833333	18446	30540	30540	30540
3.5000000000	18446	29790	29790	29790
3.5104166667	18446	26113	26113	26113
3.5208333333	18446	24983	24983	24983
3.5312500000	18446	24349	24349	24349
3.5416666667	18446	23979	23979	23979
3.5520833333	18446	23658	23658	23658
3.5625000000	18446	22068	22068	22068
3.5729166667	18446	24127	24127	24127
3.5833333333	18446	23345	23345	23345
3.5937500000	18446	22595	22595	22595
3.6041666667	18446	21580	21580	21580
3.6145833333	18446	21228	21228	21228
3.6250000000	18446	21217	21217	21217
3.6354166667	18446	20623	20623	20623
3.6458333333	18446	20848	20848	20848
3.6562500000	18446	20232	20232	20232
3.6666666667	18446	19893	19893	19893
3.6770833333	18446	19487	19487	19487
3.6875000000	18446	18819	18819	18819
3.6979166667	18446	18441	18441	18441
3.7083333333	18446	18045	18045	18045
3.7187500000	18446	17864	17864	17864
3.7291666667	18446	17775	17775	17775
3.7395833333	18446	18608	18608	18608
3.7500000000	18446	21808	21808	21808
3.7604166667	18446	20969	20969	20969
3.7708333333	18446	21559	21559	21559
3.7812500000	18446	20558	20558	20558
3.7916666667	18446	19310	19310	19310
3.8020833333	18446	17043	17043	17043
3.8125000000	18446	17878	17878	17878
3.8229166667	18446	21360	21360	21360
3.8333333333	18446	22636	22636	22636
3.8437500000	18446	22542	22542	22542
3.8541666667	18446	24225	24225	24225
3.8645833333	18446	20907	20907	20907
3.8750000000	18446	18809	18809	18809
3.8854166667	18446	20576	20576	20576
3.8958333333	18446	25680	25680	25680
3.9062500000	18446	23444	23444	23444
3.9166666667	18446	23139	23139	23139
3.9270833333	18446	23551	23551	23551
3.9375000000	18446	20895	20895	20895
3.9479166667	18446	26044	26044	26044
3.9583333333	18446	24830	24830	24830
3.9687500000	18446	23966	23966	23966
3.9791666667	18446	23311	23311	23311
3.9895833333	18446	22576	22576	22576
4.0000000000	18446	20411	20411	20411
4.0104166667	18446	20408	20408	20408
4.0208333333	18446	18616	18616	18616
4.0312500000	18446	18359	18359	18359
4.0416666667	18446	18040	18040	18040
4.0520833333	18446	17452	17452	17452
4.0625000000	18446	17034	17034	17034
4.0729166667	18446	16480	16480	16480
4.0833333333	18446	15778	15778	15778
4.0937500000	18446	15863	15863	15863
4.1041666667	18446	15636	15636	15636
4.1145833333	18446	14246	14246	14246
4.1250000000	18446	13234	13234	13234
4.1354166667	18446	12513	12513	12513
4.1458333333	18446	11946	11946	11946
4.1562500000	18446	11373	11373	11373
4.1666666667	18446	11968	11968	11968
4.1770833333	18446	11468	11468	11468
4.1875000000	18446	11771	11771	11771
4.1979166667	18446	12929	12929	12929
4.2083333333	18446	12195	12195	12195
4.2187500000	18446	13090	13090	13090
4.2291666667	18446	13414	13414	13414
4.2395833333	18446	13404	13404	13404
4.2500000000	18446	12250	12250	12250
4.2604166667	18446	12275	12275	12275
4.2708333333	18446	11669	11669	11669
4.2812500000	18446	11895	11895	11895
4.2916666667	18446	11705	11705	11705
4.3020833333	18446	11843	11843	11843
4.3125000000	18446	12189	12189	12189
4.3229166667	18446	12669	12669	12669
4.3333333333	18446	12645	12645	12645
4.3437500000	18446	12456	12456	12456
4.3541666667	18446	13219	13219	13219
4.3645833333	18446	13732	13732	13732
4.3750000000	18446	16832	16832	16832
4.3854166667	18446	16830	16830	16830
4.3958333333	18446	21148	21148	21148
4.4062500000	18446	24560	24560	24560
4.4166666667	18446	23953	23953	23953
4.4270833333	18446	25904	25904	25904
4.4375000000	18446	27488	27488	27488
4.4479166667	18446	29553	29553	29553
4.4583333333	18446	29829	29829	29829
4.4687500000	18446	29837	29837	29837
4.4791666667	18446	29558	29558	29558
4.4895833333	18446	26139	26139	26139
4.5000000000	18446	24930	24930	24930
4.5104166667	18446	24925	24925	24925
4.5208333333	18446	23924	23924	23924
4.5312500000	18446	23857	23857	23857
4.5416666667	18446	21088	21088	21088
4.5520833333	18446	24802	24802	24802
4.5625000000	18446	24220	24220	24220
4.5729166667	18446	22794	22794	22794
4.5833333333	18446	21983	21983	21983
4.5937500000	18446	19441	19441	19441
4.6041666667	18446	17806	17806	17806
4.6145833333	18446	23695	23695	23695
4.6250000000	18446	21662	21662	21662
4.6354166667	18446	20152	20152	20152
4.6458333333	18446	21161	21161	21161
4.6562500000	18446	17348	17348	17348
4.6666666667	18446	16651	16651	16651
4.6770833333	18446	18264	18264	18264
4.6875000000	18446	18220	18220	18220
4.6979166667	18446	18613	18613	18613
4.7083333333	18446	18056	18056	18056
4.7187500000	18446	17578	17578	17578
4.7291666667	18446	17335	17335	17335
4.7395833333	18446	17638	17638	17638
4.7500000000	18446	17744	17744	17744
4.7604166667	18446	17747	17747	17747
4.7708333333	18446	17733	17733	17733
4.7812500000	18446	21738	21738	21738
4.7916666667	18446	21176	21176	21176
4.8020833333	18446	20749	20749	20749
4.8125000000	18446	21158	21158	21158
4.8229166667	18446	17930	17930	17930
4.8333333333	18446	19535	19535	19535
4.8437500000	18446	22636	22636	22636
4.8541666667	18446	21182	21182	21182
4.8645833333	18446	21436	21436	21436
4.8750000000	18446	20522	20522	20522
4.8854166667	18446	18098	18098	18098
4.8958333333	18446	24479	24479	24479
4.9062500000	18446	22590	22590	22590
4.9166666667	18446	21673	21673	21673
4.9270833333	18446	21063	21063	21063
4.9375000000	18446	16683	16683	16683
4.9479166667	18446	24122	24122	24122
4.9583333333	18446	21831	21831	21831
4.9687500000	18446	22589	22589	22589
4.9791666667	18446	21074	21074	21074
4.9895833333	18446	18895	18895	18895
5.0000000000	18446	16990	16990	16990
5.0104166667	18446	16990	16990	16990
5.0208333333	18446	15964	15964	15964
5.0312500000	18446	15806	15806	15806
5.0416666667	18446	15610	15610	15610
5.0520833333	18446	15247	15247	15247
5.0625000000	18446	14989	14989	14989
5.0729166667	18446	14647	14647	14647
5.0833333333	18446	14212	14212	14212
5.0937500000	18446	14266	14266	14266
5.1041666667	18446	14126	14126	14126
5.1145833333	18446	13264	13264	13264
5.1250000000	18446	12636	12636	12636
5.1354166667	18446	12189	12189	12189
5.1458333333	18446	11836	11836	11836
5.1562500000	18446	11481	11481	11481
5.1666666667	18446	11851	11851	11851
5.1770833333	18446	11540	11540	11540
5.1875000000	18446	11729	11729	11729
5.1979166667	18446	12450	12450	12450
5.2083333333	18446	11994	11994	11994
5.2187500000	18446	12552	12552	12552
5.2291666667	18446	12755	12755	12755
5.2395833333	18446	12749	12749	12749
5.2500000000	18446	12030	12030	12030
5.2604166667	18446	12046	12046	12046
5.2708333333	18446	11668	11668	11668
5.2812500000	18446	11810	11810	11810
5.2916666667	18446	11692	11692	11692
5.3020833333	18446	11778	11778	11778
5.3125000000	18446	11994	11994	11994
5.3229166667	18446	12294	12294	12294
5.3333333333	18446	12280	12280	12280
5.3437500000	18446	12162	12162	12162
5.3541666667	18446	12640	12640	12640
5.3645833333	18446	12962	12962	12962
5.3750000000	18446	14903	14903	14903
5.3854166667	18446	14903	14903	14903
5.3958333333	18446	17608	17608	17608
5.4062500000	18446	19748	19748	19748
5.4166666667	18446	19370	19370	19370
5.4270833333	18446	20596	20596	20596
5.4375000000	18446	21592	21592	21592
5.4479166667	18446	22891	22891	22891
5.4583333333	18446	23068	23068	23068
5.4687500000	18446	23077	23077	23077
5.4791666667	18446	22905	22905	22905
5.4895833333	18446	20762	20762	20762
5.5000000000	18446	20005	20005	20005
5.5104166667	18446	20005	20005	20005
5.5208333333	18446	19379	19379	19379
5.5312500000	18446	19339	19339	19339
5.5416666667	18446	17601	17601	17601
5.5520833333	18446	19939	19939	19939
5.5625000000	18446	19576	19576	19576
5.5729166667	18446	18681	18681	18681
5.5833333333	18446	18173	18173	18173
5.5937500000	18446	16574	16574	16574
5.6041666667	18446	15545	15545	15545
5.6145833333	18446	19259	19259	19259
5.6250000000	18446	17980	17980	17980
5.6354166667	18446	17030	17030	17030
5.6458333333	18446	17669	17669	17669
5.6562500000	18446	15264	15264	15264
5.6666666667	18446	14826	14826	14826
5.6770833333	18446	15846	15846	15846
5.6875000000	18446	15819	15819	15819
5.6979166667	18446	16069	16069	16069
5.7083333333	18446	15719	15719	15719
5.7187500000	18446	15418	15418	15418
5.7291666667	18446	15266	15266	15266
5.7395833333	18446	15459	15459	15459
5.7500000000	18446	15528	15528	15528
5.7604166667	18446	15531	15531	15531
5.7708333333	18446	15524	15524	15524
5.7812500000	18446	18062	18062	18062
5.7916666667	18446	17708	17708	17708
5.8020833333	18446	17440	17440	17440
5.8125000000	18446	17701	17701	17701
5.8229166667	18446	15656	15656	15656
5.8333333333	18446	16676	16676	16676
5.8437500000	18446	18646	18646	18646
5.8541666667	18446	17726	17726	17726
5.8645833333	18446	17889	17889	17889
5.8750000000	18446	17311	17311	17311
5.8854166667	18446	15773	15773	15773
5.8958333333	18446	19830	19830	19830
5.9062500000	18446	18631	18631	18631
5.9166666667	18446	18051	18051	18051
5.9270833333	18446	17665	17665	17665
5.9375000000	18446	14880	14880	14880
5.9479166667	18446	19617	19617	19617
5.9583333333	18446	18161	18161	18161
5.9687500000	18446	18646	18646	18646
5.9791666667	18446	17683	17683	17683
5.9895833333	18446	16297	16297	16297
6.0000000000	18446	15388	15388	15388
6.0104166667	18446	15534	15534	15534
6.0208333333	18446	15779	15779	15779
6.0312500000	18446	18281	18281	18281
6.0416666667	18446	17472	17472	17472
6.0520833333	18446	18215	18215	18215
6.0625000000	18446	18130	18130	18130
6.0729166667	18446	13548	13548	13548
6.0833333333	18446	13661	13661	13661
6.0937500000	18446	13676	13676	13676
6.1041666667	18446	13339	13339	13339
6.1145833333	18446	13075	13075	13075
6.1250000000	18446	12042	12042	12042
6.1354166667	18446	12042	12042	12042
6.1458333333	18446	11397	11397	11397
6.1562500000	18446	11220	11220	11220
6.1666666667	18446	10898	10898	10898
6.1770833333	18446	10627	10627	10627
6.1875000000	18446	11347	11347	11347
6.1979166667	18446	10876	10876	10876
6.2083333333	18446	11186	11186	11186
6.2187500000	18446	11343	11343	11343
6.2291666667	18446	11624	11624	11624
6.2395833333	18446	11522	11522	11522
6.2500000000	18446	11844	11844	11844
6.2604166667	18446	12105	12105	12105
6.2708333333	18446	11429	11429	11429
6.2812500000	18446	11457	11457	11457
6.2916666667	18446	11826	11826	11826
6.3020833333	18446	12021	12021	12021
6.3125000000	18446	11488	11488	11488
6.3229166667	18446	11613	11613	11613
6.3333333333	18446	11632	11632	11632
6.3437500000	18446	11482	11482	11482
6.3541666667	18446	12270	12270	12270
6.3645833333	18446	11978	11978	11978
6.3750000000	18446	11889	11889	11889
6.3854166667	18446	13692	13692	13692
6.3958333333	18446	18050	18050	18050
6.4062500000	18446	18506	18506	18506
6.4166666667	18446	19118	19118	19118
6.4270833333	18446	20560	20560	20560
6.4375000000	18446	21862	21862	21862
6.4479166667	18446	23227	23227	23227
6.4583333333	18446	23379	23379	23379
6.4687500000	18446	23258	23258	23258
6.4791666667	18446	23272	23272	23272
6.4895833333	18446	23155	23155	23155
6.5000000000	18446	22701	22701	22701
6.5104166667	18446	20461	20461	20461
6.5208333333	18446	19774	19774	19774
6.5312500000	18446	19390	19390	19390
6.5416666667	18446	19166	19166	19166
6.5520833333	18446	18973	18973	18973
6.5625000000	18446	18003	18003	18003
6.5729166667	18446	19264	19264	19264
6.5833333333	18446	18789	18789	18789
6.5937500000	18446	18332	18332	18332
6.6041666667	18446	17713	17713	17713
6.6145833333	18446	17500	17500	17500
6.6250000000	18446	17495	17495	17495
6.6354166667	18446	17134	17134	17134
6.6458333333	18446	17273	17273	17273
6.6562500000	18446	16898	16898	16898
6.6666666667	18446	16692	16692	16692
6.6770833333	18446	16445	16445	16445
6.6875000000	18446	16037	16037	16037
6.6979166667	18446	15806	15806	15806
6.7083333333	18446	15565	15565	15565
6.7187500000	18446	15456	15456	15456
6.7291666667	18446	15402	15402	15402
6.7395833333	18446	15915	15915	15915
6.7500000000	18446	17883	17883	17883
6.7604166667	18446	17370	17370	17370
6.7708333333	18446	17735	17735	17735
6.7812500000	18446	17121	17121	17121
6.7916666667	18446	16355	16355	16355
6.8020833333	18446	14962	14962	14962
6.8125000000	18446	15477	15477	15477
6.8229166667	18446	17623	17623	17623
6.8333333333	18446	18411	18411	18411
6.8437500000	18446	18356	18356	18356
6.8541666667	18446	19395	19395	19395
6.8645833333	18446	17352	17352	17352
6.8750000000	18446	16060	16060	16060
6.8854166667	18446	17152	17152	17152
6.8958333333	18446	20304	20304	20304
6.9062500000	18446	18926	18926	18926
6.9166666667	18446	18740	18740	18740
6.9270833333	18446	18997	18997	18997
6.9375000000	18446	17359	17359	17359
6.9479166667	18446	20544	20544	20544
6.9583333333	18446	19796	19796	19796
6.9687500000	18446	19265	19265	19265
6.9791666667	18446	18862	18862	18862
6.9895833333	18446	18409	18409	18409
7.0000000000	18446	21477	21477	21477
7.0104166667	18446	21474	21474	21474
7.0208333333	18446	19620	19620	19620
7.0312500000	18446	19334	19334	19334
